state,scenario,recharge_tag,slr_m,status,sec,perm_valid_pix,gate_pix,swi_pix,SWI not accelerated,Lateral-dominated,Mixed,Vertical-dominated,pixel_area_km2,perm_valid_area_km2,gate_area_km2,swi_area_km2,SWI not accelerated_area_km2,Lateral-dominated_area_km2,Mixed_area_km2,Vertical-dominated_area_km2
DC,0_0ft,ACCESS-CM2_ssp126_FarFuture_2070-2099,0,processed,0.310859203,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,ACCESS-CM2_ssp126_Historical_1980-2009,0,processed,0.317298174,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,ACCESS-CM2_ssp126_NearFuture_2030-2059,0,processed,0.222610474,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,ACCESS-CM2_ssp245_FarFuture_2070-2099,0,processed,1.172631264,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,ACCESS-CM2_ssp245_Historical_1980-2009,0,processed,0.244809628,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,ACCESS-CM2_ssp245_NearFuture_2030-2059,0,processed,0.359459639,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,ACCESS-CM2_ssp585_FarFuture_2070-2099,0,processed,0.278427362,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,ACCESS-CM2_ssp585_Historical_1980-2009,0,processed,0.302625656,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,ACCESS-CM2_ssp585_NearFuture_2030-2059,0,processed,0.341360807,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,BCC-CSM2-MR_ssp126_FarFuture_2070-2099,0,processed,0.513516903,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,BCC-CSM2-MR_ssp126_Historical_1980-2009,0,processed,0.589680433,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,BCC-CSM2-MR_ssp126_NearFuture_2030-2059,0,processed,0.313726425,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,BCC-CSM2-MR_ssp245_FarFuture_2070-2099,0,processed,0.280560017,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,BCC-CSM2-MR_ssp245_Historical_1980-2009,0,processed,0.284660101,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,BCC-CSM2-MR_ssp245_NearFuture_2030-2059,0,processed,0.357519865,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,BCC-CSM2-MR_ssp585_FarFuture_2070-2099,0,processed,0.710876226,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,BCC-CSM2-MR_ssp585_Historical_1980-2009,0,processed,0.511657953,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,BCC-CSM2-MR_ssp585_NearFuture_2030-2059,0,processed,0.256969929,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,CNRM-ESM2-1_ssp126_FarFuture_2070-2099,0,processed,0.277193546,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,CNRM-ESM2-1_ssp126_Historical_1980-2009,0,processed,0.363081455,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,CNRM-ESM2-1_ssp126_NearFuture_2030-2059,0,processed,0.24491024,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,CNRM-ESM2-1_ssp245_FarFuture_2070-2099,0,processed,0.276808262,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,CNRM-ESM2-1_ssp245_Historical_1980-2009,0,processed,0.304127455,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,CNRM-ESM2-1_ssp245_NearFuture_2030-2059,0,processed,0.390521765,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,CNRM-ESM2-1_ssp585_FarFuture_2070-2099,0,processed,0.295076847,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,CNRM-ESM2-1_ssp585_Historical_1980-2009,0,processed,0.293080091,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,CNRM-ESM2-1_ssp585_NearFuture_2030-2059,0,processed,0.304033279,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,EC-Earth3_ssp245_FarFuture_2070-2099,0,processed,0.292040348,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,EC-Earth3_ssp245_Historical_1980-2009,0,processed,0.795115232,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,EC-Earth3_ssp245_NearFuture_2030-2059,0,processed,0.361324787,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,EC-Earth3_ssp585_FarFuture_2070-2099,0,processed,0.300161839,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,EC-Earth3_ssp585_Historical_1980-2009,0,processed,0.307986498,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,EC-Earth3_ssp585_NearFuture_2030-2059,0,processed,0.284944534,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,MPI-ESM1-2-HR_ssp126_FarFuture_2070-2099,0,processed,0.383066654,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,MPI-ESM1-2-HR_ssp126_Historical_1980-2009,0,processed,1.217557192,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,MPI-ESM1-2-HR_ssp126_NearFuture_2030-2059,0,processed,0.259145498,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,MPI-ESM1-2-HR_ssp245_FarFuture_2070-2099,0,processed,0.294038534,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,MPI-ESM1-2-HR_ssp245_Historical_1980-2009,0,processed,0.285690546,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,MPI-ESM1-2-HR_ssp245_NearFuture_2030-2059,0,processed,0.387599707,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,MPI-ESM1-2-HR_ssp585_FarFuture_2070-2099,0,processed,0.255681753,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,MPI-ESM1-2-HR_ssp585_Historical_1980-2009,0,processed,1.068687916,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,MPI-ESM1-2-HR_ssp585_NearFuture_2030-2059,0,processed,0.28124547,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,NorESM2-MM_ssp126_FarFuture_2070-2099,0,processed,0.355103731,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,NorESM2-MM_ssp126_Historical_1980-2009,0,processed,0.298133135,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,NorESM2-MM_ssp126_NearFuture_2030-2059,0,processed,0.288055658,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,NorESM2-MM_ssp245_FarFuture_2070-2099,0,processed,0.283547878,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,NorESM2-MM_ssp245_Historical_1980-2009,0,processed,0.36822319,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,NorESM2-MM_ssp245_NearFuture_2030-2059,0,processed,0.910197496,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,NorESM2-MM_ssp585_FarFuture_2070-2099,0,processed,0.274296999,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,NorESM2-MM_ssp585_Historical_1980-2009,0,processed,0.295665264,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
DC,0_0ft,NorESM2-MM_ssp585_NearFuture_2030-2059,0,processed,0.242884874,8391,1424,6967,6967,828,596,0,0.000607394,5.09664044,0.864928612,4.231711828,4.231711828,0.502921974,0.362006638,0
NH,0_0ft,ACCESS-CM2_ssp126_FarFuture_2070-2099,0,processed,1.224382639,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,ACCESS-CM2_ssp126_Historical_1980-2009,0,processed,1.466912031,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,ACCESS-CM2_ssp126_NearFuture_2030-2059,0,processed,1.081289291,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,ACCESS-CM2_ssp245_FarFuture_2070-2099,0,processed,1.356513023,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,ACCESS-CM2_ssp245_Historical_1980-2009,0,processed,0.992277622,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,ACCESS-CM2_ssp245_NearFuture_2030-2059,0,processed,1.361358881,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,ACCESS-CM2_ssp585_FarFuture_2070-2099,0,processed,0.943682671,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,ACCESS-CM2_ssp585_Historical_1980-2009,0,processed,1.079050064,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,ACCESS-CM2_ssp585_NearFuture_2030-2059,0,processed,1.008503437,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,BCC-CSM2-MR_ssp126_FarFuture_2070-2099,0,processed,1.485374689,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,BCC-CSM2-MR_ssp126_Historical_1980-2009,0,processed,0.955273867,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,BCC-CSM2-MR_ssp126_NearFuture_2030-2059,0,processed,1.912076473,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,BCC-CSM2-MR_ssp245_FarFuture_2070-2099,0,processed,0.870642185,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,BCC-CSM2-MR_ssp245_Historical_1980-2009,0,processed,1.503102541,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,BCC-CSM2-MR_ssp245_NearFuture_2030-2059,0,processed,0.978807926,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,BCC-CSM2-MR_ssp585_FarFuture_2070-2099,0,processed,1.763217688,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,BCC-CSM2-MR_ssp585_Historical_1980-2009,0,processed,0.946823597,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,BCC-CSM2-MR_ssp585_NearFuture_2030-2059,0,processed,1.410790443,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,CNRM-ESM2-1_ssp126_FarFuture_2070-2099,0,processed,0.942884207,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,CNRM-ESM2-1_ssp126_Historical_1980-2009,0,processed,1.714810133,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,CNRM-ESM2-1_ssp126_NearFuture_2030-2059,0,processed,0.803702354,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
NH,0_0ft,CNRM-ESM2-1_ssp245_FarFuture_2070-2099,0,processed,0.858734131,95504,71438,24066,24066,71009,429,0,0.00048674,46.48561022,34.77172708,11.71388314,11.71388314,34.56291565,0.20881143,0
